iter	Logloss
0	0.6660890919
1	0.6434168017
2	0.620564514
3	0.6030114539
4	0.5874075189
5	0.5733250466
6	0.5595630648
7	0.5460743328
8	0.533915334
9	0.5231530357
10	0.5147971888
11	0.5060326523
12	0.498601805
13	0.4907816946
14	0.4849128934
15	0.4785800041
16	0.4728156103
17	0.4684991306
18	0.464012518
19	0.4607836309
20	0.4572795793
21	0.4529357974
22	0.4491218793
23	0.4448567428
24	0.4421391995
25	0.437643565
26	0.4347263139
27	0.4327106314
28	0.4298520609
29	0.4267620745
30	0.4245067461
31	0.4221593478
32	0.4202615909
33	0.4185460777
34	0.4164638604
35	0.4141602905
36	0.4123674196
37	0.410733542
38	0.4086295541
39	0.4073004052
40	0.4058597082
41	0.403951531
42	0.4024915429
43	0.4005198022
44	0.3991818485
45	0.3978232288
46	0.3965046725
47	0.3953440129
48	0.3940923386
49	0.3927073556
50	0.3915887143
51	0.3908694402
52	0.3899797631
53	0.3886186705
54	0.3867986775
55	0.3854933707
56	0.3846050964
57	0.3841509855
58	0.383312609
59	0.3825077487
60	0.3815511909
61	0.3810518722
62	0.3801978131
63	0.3794174721
64	0.3788481624
65	0.3782036985
66	0.3774480911
67	0.3762924647
68	0.3747577223
69	0.3742164049
70	0.3736386182
71	0.3726481511
72	0.3721181607
73	0.3708973242
74	0.3699006458
75	0.3690110756
76	0.3684867242
77	0.3678511569
78	0.3670493314
79	0.3664745513
80	0.3652238697
81	0.3647096667
82	0.3636193403
83	0.3630645685
84	0.362461574
85	0.3615223252
86	0.3600549504
87	0.3594870991
88	0.3585623355
89	0.3580428988
90	0.3574653587
91	0.356767709
92	0.356253343
93	0.3556861147
94	0.3554277856
95	0.3546072793
96	0.3535188253
97	0.3528550067
98	0.3523434121
99	0.351665848
100	0.3512478834
101	0.3505886749
102	0.3496128522
103	0.3490540517
104	0.3480223592
105	0.3474542484
106	0.3463033495
107	0.3458833736
108	0.3451031387
109	0.344476546
110	0.3441568632
111	0.3436606691
112	0.3433004013
113	0.3429470484
114	0.3426942237
115	0.3422101513
116	0.3416455159
117	0.3412112213
118	0.3409040165
119	0.3404769619
120	0.3402329581
121	0.3397210281
122	0.3394354966
123	0.3390085216
124	0.3384348119
125	0.3381706465
126	0.337952141
127	0.3375806793
128	0.3370107677
129	0.336458542
130	0.3362943104
131	0.335875185
132	0.3354497371
133	0.3351194281
134	0.3347705071
135	0.3345634353
136	0.3340375716
137	0.3336130141
138	0.3332489887
139	0.3325643605
140	0.3319213553
141	0.3315015752
142	0.3311503345
143	0.330633651
144	0.3304435531
145	0.3301615047
146	0.3299564596
147	0.3294280355
148	0.3291472726
149	0.3287537916
150	0.3285753241
151	0.3282692336
152	0.3280697029
153	0.3277620431
154	0.3274162928
155	0.3265544048
156	0.3260620437
157	0.3258547012
158	0.3249549339
159	0.3245082133
160	0.3241758205
161	0.3238192609
162	0.3233197134
163	0.3231314462
164	0.3228032582
165	0.3225291246
166	0.3221985663
167	0.3215687018
168	0.3213797076
169	0.3211043378
170	0.3207275829
171	0.3204722753
172	0.3201841013
173	0.3198635011
174	0.3194155395
175	0.3190949382
176	0.3187924584
177	0.3185621061
178	0.3182927371
179	0.3180096145
180	0.3176421282
181	0.3168972787
182	0.3163342337
183	0.3156128598
184	0.315127546
185	0.3148376355
186	0.3141703601
187	0.3136781762
188	0.3132785747
189	0.3130431312
190	0.3125798394
191	0.3123530219
192	0.3118223838
193	0.3114187178
194	0.3110822084
195	0.310816495
196	0.3105303045
197	0.3102983092
198	0.3098033175
199	0.3095368994
200	0.3093501927
201	0.3090240583
202	0.3087818022
203	0.3085085975
204	0.3081302502
205	0.3077527146
206	0.3074813266
207	0.3070887437
208	0.3066520154
209	0.3063884802
210	0.3061345205
211	0.3058786568
212	0.3055117331
213	0.3052550638
214	0.3049180469
215	0.3043868901
216	0.3037934767
217	0.3034340296
218	0.3031481895
219	0.3028608209
220	0.3026934126
221	0.302444332
222	0.3020721344
223	0.3018130069
224	0.3014807779
225	0.3012512596
226	0.3009583529
227	0.300579592
228	0.3004213435
229	0.3001582672
230	0.2997001888
231	0.2994323396
232	0.2990905407
233	0.2988262145
234	0.2985085615
235	0.2978897953
236	0.297607701
237	0.2972846928
238	0.2970867965
239	0.2969480041
240	0.2966804575
241	0.2963399402
242	0.2962006323
243	0.296031317
244	0.2957648784
245	0.2954920501
246	0.2951958652
247	0.2949419234
248	0.2946813869
249	0.2945366295
250	0.2942607739
251	0.2939936516
252	0.2937159355
253	0.2934797331
254	0.2932345494
255	0.292923833
256	0.2927079575
257	0.2925061633
258	0.2922618316
259	0.2918936539
260	0.2916693406
261	0.2914294665
262	0.2912691721
263	0.2911174498
264	0.2907250338
265	0.2905065414
266	0.2902962722
267	0.2901115243
268	0.2898855964
269	0.2896621037
270	0.2892494983
271	0.2891182112
272	0.2889317426
273	0.2886071589
274	0.2883690967
275	0.2880650259
276	0.2877529743
277	0.2875813541
278	0.2873648285
279	0.2870861822
280	0.2869463749
281	0.2864997833
282	0.286142534
283	0.2859364291
284	0.285748652
285	0.2855012355
286	0.2852591654
287	0.2850667602
288	0.2848531733
289	0.2846262749
290	0.2843673688
291	0.2841801407
292	0.2840482759
293	0.2839751185
294	0.2838575842
295	0.2836791843
296	0.2835698017
297	0.2833575809
298	0.2831750868
299	0.2829201149
300	0.2827311222
301	0.282530293
302	0.2823243856
303	0.2821412382
304	0.2819790221
305	0.2817670055
306	0.2814785262
307	0.2813068717
308	0.28099051
309	0.2807403212
310	0.2805030729
311	0.2802914684
312	0.2800918502
313	0.279934517
314	0.2797879127
315	0.2796416368
316	0.2794483372
317	0.2792482032
318	0.2790965099
319	0.2789183316
320	0.2787360407
321	0.278709016
322	0.278445048
323	0.2782901857
324	0.2780654685
325	0.2778015386
326	0.2775342898
327	0.2775079357
328	0.2774571671
329	0.2773002412
330	0.2771376236
331	0.2769366548
332	0.2767219041
333	0.2765304289
