iter	Passed	Remaining
0	2	1275
1	5	1252
2	7	1238
3	9	1211
4	12	1215
5	14	1217
6	17	1231
7	20	1241
8	22	1235
9	25	1242
10	27	1241
11	30	1243
12	33	1236
13	35	1239
14	38	1236
15	40	1237
16	43	1233
17	46	1238
18	48	1239
19	51	1235
20	53	1228
21	56	1220
22	58	1214
23	60	1208
24	63	1206
25	65	1202
26	68	1197
27	70	1195
28	73	1193
29	75	1188
30	78	1187
31	81	1184
32	83	1181
33	85	1178
34	88	1175
35	91	1175
36	93	1173
37	96	1170
38	98	1169
39	101	1168
40	104	1165
41	106	1163
42	109	1160
43	111	1160
44	114	1158
45	117	1157
46	119	1154
47	122	1151
48	124	1147
49	127	1144
50	129	1141
51	132	1138
52	134	1134
53	137	1132
54	139	1129
55	142	1126
56	144	1123
57	146	1119
58	149	1118
59	152	1115
60	154	1111
61	156	1108
62	159	1105
63	161	1103
64	164	1100
65	166	1097
66	169	1094
67	171	1091
68	174	1088
69	176	1086
70	179	1084
71	181	1081
72	184	1079
73	186	1075
74	189	1073
75	191	1069
76	194	1067
77	196	1064
78	199	1062
79	201	1059
80	204	1057
81	206	1054
82	209	1051
83	211	1049
84	214	1048
85	217	1046
86	220	1044
87	222	1042
88	225	1040
89	228	1040
90	231	1038
91	233	1035
92	236	1033
93	238	1030
94	241	1028
95	243	1025
96	246	1022
97	248	1019
98	251	1017
99	253	1014
100	256	1011
101	258	1008
102	261	1006
103	263	1003
104	266	1000
105	268	998
106	271	995
107	273	994
108	276	991
109	278	988
110	281	985
111	283	983
112	286	980
113	288	978
114	291	975
115	293	973
116	296	970
117	299	968
118	301	966
119	304	963
120	306	961
121	309	958
122	311	955
123	314	952
124	316	950
125	319	948
126	322	946
127	324	944
128	327	941
129	329	939
130	332	936
131	335	934
132	337	931
133	340	928
134	342	926
135	345	924
136	347	921
137	350	919
138	353	917
139	355	915
140	358	913
141	361	911
142	364	908
143	366	906
144	369	904
145	372	902
146	374	899
147	377	897
148	379	894
149	382	892
150	385	890
151	387	887
152	390	885
153	393	883
154	395	880
155	398	878
156	400	875
157	403	872
158	406	870
159	409	869
160	411	867
161	414	865
162	417	862
163	419	860
164	422	857
165	425	855
166	427	853
167	430	851
168	433	848
169	435	845
170	438	843
171	440	840
172	443	838
173	446	835
174	448	833
175	451	830
176	453	828
177	456	825
178	459	823
179	461	821
180	464	818
181	467	816
182	470	814
183	472	811
184	475	809
185	477	806
186	480	804
187	483	801
188	485	799
189	488	796
190	490	794
191	493	791
192	496	789
193	499	787
194	501	784
195	504	782
196	507	779
197	509	777
198	512	774
199	514	771
200	517	769
201	519	766
202	522	764
203	524	761
204	527	758
205	530	756
206	532	754
207	535	752
208	538	749
209	540	747
210	543	744
211	546	742
212	548	739
213	551	737
214	554	735
215	557	732
216	559	729
217	562	727
218	565	725
219	567	722
220	570	720
221	573	717
222	575	715
223	578	712
224	581	710
225	583	707
226	586	705
227	589	702
228	591	700
229	594	697
230	596	695
231	599	692
232	602	690
233	605	688
234	607	685
235	610	683
236	613	680
237	615	677
238	618	675
239	620	672
240	623	670
241	626	667
242	628	665
243	631	662
244	633	659
245	636	657
246	639	654
247	641	652
248	644	649
249	646	646
250	649	643
251	651	641
252	654	638
253	656	636
254	659	633
255	662	631
256	664	628
257	666	625
258	669	623
259	672	620
260	674	617
261	677	615
262	679	612
263	682	610
264	685	607
265	687	604
266	690	602
267	692	599
268	695	597
269	697	594
270	700	591
271	703	589
272	705	586
273	708	584
274	710	581
275	713	578
276	715	576
277	718	573
278	720	570
279	723	568
280	725	565
281	728	563
282	731	560
283	733	558
284	736	555
285	739	552
286	741	550
287	744	547
288	746	545
289	749	542
290	751	539
291	754	537
292	756	534
293	759	532
294	761	529
295	764	526
296	767	524
297	769	521
298	772	519
299	774	516
300	777	513
301	780	511
302	782	508
303	784	506
304	787	503
305	789	500
306	792	498
307	810	505
308	812	502
309	815	499
310	817	496
311	820	494
312	822	491
313	825	489
314	828	486
315	830	483
316	833	481
317	836	478
318	838	476
319	841	473
